Name,Genes (tot),Stat (dist.dir.up),p (dist.dir.up),p adj (dist.dir.up),Stat (dist.dir.dn),p (dist.dir.dn),p adj (dist.dir.dn),Stat (non-dir.),p (non-dir.),p adj (non-dir.),Genes (up),Stat (mix.dir.up),p (mix.dir.up),p adj (mix.dir.up),Genes (down),Stat (mix.dir.dn),p (mix.dir.dn),p adj (mix.dir.dn)
map00401,8,-0.43426,0.56322,1,0.43426,0.43678,0.65119,3.8908,0.00066837,0.039148,4,2.5419,0.017294,0.77823,4,2.9605,0.0069527,0.15057
map00906,3,0.4086,0.33629,1,-0.4086,0.66371,0.83473,-1.2699,0.88954,1,2,-0.75917,0.86156,1,1,-1.126,0.84032,1
map00620,82,0.49217,0.13166,1,-0.49217,0.86834,0.96744,3.2727,0.010682,0.31282,51,1.1106,0.72734,1,31,3.8983,0.00025662,0.016894
map04361,6,-0.45607,0.57629,1,0.45607,0.42371,0.63769,-1.166,0.89075,1,1,0.2627,0.47633,1,5,-1.3947,0.86025,1
map04910,20,-1.5969,0.8752,1,1.5969,0.1248,0.48889,-1.3393,0.93187,1,4,-0.90024,0.92292,1,16,-1.0473,0.78116,1
map00571,4,-0.503,0.60299,1,0.503,0.39701,0.61828,-1.8375,0.97148,1,0,NA,NA,NA,4,-1.8375,0.92689,1
map00680,111,-5.6448,0.99998,1,5.6448,2.36E-05,0.0032192,3.4383,0.014399,0.38091,29,0.55315,0.76531,1,82,3.6714,0.00057846,0.028208
map04218,17,-1.4838,0.85764,1,1.4838,0.14236,0.48889,-1.6823,0.96125,1,2,-0.20857,0.69092,1,15,-1.7147,0.90069,1
map03008,66,-3.0353,0.97269,1,3.0353,0.027311,0.48889,-4.0028,0.99999,1,5,-0.19551,0.76879,1,61,-4.1076,0.9991,1
map00310,31,1.1566,0.084289,1,-1.1566,0.91571,0.99049,-0.15115,0.6785,1,19,-0.045045,0.86982,1,12,-0.18626,0.55595,1
map05111,34,2.0212,0.014246,0.36506,-2.0212,0.98575,1,1.964,0.098762,0.98762,22,2.0009,0.17752,1,12,0.59664,0.31042,1
map04145,27,-1.595,0.85154,1,1.595,0.14846,0.48889,-2.256,0.9909,1,3,0.32923,0.5046,1,24,-2.5093,0.97237,1
map05210,8,-1.2325,0.80779,1,1.2325,0.19221,0.49659,-1.9894,0.9732,1,0,NA,NA,NA,8,-1.9894,0.94256,1
map01054,1,0.92412,0.17946,1,-0.92412,0.82054,0.94501,0.37072,0.41475,1,1,0.37072,0.43482,1,0,NA,NA,NA
map05010,99,-2.8527,0.9609,1,2.8527,0.039105,0.48889,-5.1249,1,1,14,-0.82941,0.96086,1,85,-5.1943,0.99998,1
map00944,1,1.24,0.11606,1,-1.24,0.88394,0.96853,0.78922,0.28003,1,1,0.78922,0.28435,1,0,NA,NA,NA
map01240,254,-0.7226,0.29014,1,0.7226,0.70986,0.86879,5.7181,3.22E-05,0.0033032,120,4.5394,0.011993,0.65517,134,3.5768,0.00106,0.032617
map04211,10,-0.93773,0.72761,1,0.93773,0.27239,0.56121,0.10051,0.5292,1,2,0.82835,0.27072,1,8,-0.30181,0.56932,1
map04972,5,0.01831,0.43815,1,-0.01831,0.56185,0.74309,-0.53048,0.73036,1,2,0.042285,0.59101,1,3,-0.71937,0.71775,1
map00071,23,0.36099,0.23891,1,-0.36099,0.76109,0.90711,0.42086,0.50879,1,14,0.16913,0.76788,1,9,0.46184,0.33711,1
map05323,11,-1.3297,0.821,1,1.3297,0.179,0.48889,-1.415,0.94054,1,1,-0.45007,0.73626,1,10,-1.3417,0.8384,1
map05022,115,-2.6043,0.93247,1,2.6043,0.067534,0.48889,-5.1204,1,1,19,-0.31641,0.92018,1,96,-5.4635,0.99999,1
map00561,39,-2.3648,0.93902,1,2.3648,0.060976,0.48889,0.1703,0.60497,1,12,-0.21311,0.86182,1,27,0.34675,0.38568,1
map04668,3,-0.89486,0.7606,1,0.89486,0.2394,0.54531,-0.649,0.7434,1,0,NA,NA,NA,3,-0.649,0.698,1
map04930,3,0.087798,0.44263,1,-0.087798,0.55737,0.74154,-0.95611,0.82533,1,2,-0.94901,0.90155,1,1,-0.31393,0.62075,1
map00361,4,-0.0087733,0.43407,1,0.0087733,0.56593,0.74607,-0.27888,0.68849,1,1,0.91367,0.24489,1,3,-0.84953,0.75256,1
map00621,5,0.71147,0.22659,1,-0.71147,0.77341,0.91607,1.2516,0.17551,1,3,1.2975,0.16195,1,2,0.38982,0.34359,1
map00471,6,-0.62082,0.63177,1,0.62082,0.36823,0.59845,1.0367,0.22471,1,2,1.0051,0.21194,1,4,0.5589,0.30811,1
map00440,17,0.94759,0.12544,1,-0.94759,0.87456,0.96744,-0.037399,0.63718,1,12,-0.39167,0.89883,1,5,0.53782,0.34116,1
map05132,43,-2.3752,0.93875,1,2.3752,0.061245,0.48889,-2.346,0.99463,1,8,-0.8592,0.93712,1,35,-2.1895,0.94761,1
map05216,3,-1.2528,0.84584,1,1.2528,0.15416,0.48889,0.10644,0.48411,1,0,NA,NA,NA,3,0.10644,0.46063,1
map00626,6,2.5072,0.0081953,0.30546,-2.5072,0.9918,1,1.0924,0.20993,1,5,1.7002,0.1101,1,1,-1.126,0.84032,1
map04625,8,-1.2635,0.81525,1,1.2635,0.18475,0.49363,-1.5899,0.94305,1,0,NA,NA,NA,8,-1.5899,0.89339,1
map00524,2,0.049629,0.40164,1,-0.049629,0.59836,0.77297,-0.92792,0.80515,1,1,-0.5736,0.77387,1,1,-0.73868,0.74776,1
map05164,15,-1.8877,0.92197,1,1.8877,0.078028,0.48889,-1.1895,0.90414,1,1,-0.86307,0.84905,1,14,-1.0006,0.79662,1
map04212,14,0.24385,0.31121,1,-0.24385,0.68879,0.85062,-0.33541,0.69781,1,5,1.2224,0.23214,1,9,-1.3295,0.83653,1
map04966,9,-1.2283,0.821,1,1.2283,0.179,0.48889,-1.1264,0.89919,1,1,-0.45007,0.73626,1,8,-1.0356,0.78357,1
map00591,3,0.20261,0.40365,1,-0.20261,0.59635,0.77297,-0.59612,0.72751,1,1,0.45154,0.4042,1,2,-1.0494,0.77671,1
